season,celebrity_name,final_placement,regime,avg_judge_share,avg_fan_share,weeks_survived
1,Evander Holyfield,5,rank,0.1344938678172348,0.11765734261280136,3
1,Joey McIntyre,3,rank,0.21803952195634263,0.224447039270364,5
1,John O'Hurley,2,rank,0.2863856822050215,0.3894544853557724,6
1,Kelly Monaco,1,rank,0.2611647983660485,0.1945417120314331,6
1,Rachel Hunter,4,rank,0.22471387381820845,0.21450210600476108,4
1,Trista Sutter,6,rank,0.16108120403366444,0.08140358373374935,2
2,Drew Lachey,1,rank,0.20018704680181557,0.3228477611819114,8
2,George Hamilton,5,rank,0.13132848896165625,0.06714027528864436,6
2,Giselle Fernandez,8,rank,0.1196092796092796,0.1301466689331336,3
2,Jerry Rice,2,rank,0.16517795223782086,0.1637997028407046,8
2,Kenny Mayne,10,rank,0.06666666666666667,0.0183310958965449,1
2,Lisa Rinna,4,rank,0.1611042644423937,0.09922470887927645,7
2,Master P,7,rank,0.06727361246348589,0.038676808919085974,4
2,Stacy Keibler,3,rank,0.20056213646976578,0.22110647155785718,8
2,Tatum O'Neal,9,rank,0.10147435897435897,0.1136366782383015,2
2,Tia Carrere,6,rank,0.13186889155218437,0.08996044132410377,5
3,Emmitt Smith,1,percent,0.20837414780431018,0.20866612258234873,10
3,Harry Hamlin,9,percent,0.0925910734360283,0.0880506235133744,3
3,Jerry Springer,5,percent,0.1180214583676301,0.12746534206987864,7
3,Joey Lawrence,3,percent,0.17793884820314101,0.17595794871688059,9
3,Mario Lopez,2,percent,0.21553587339218608,0.2191975793139452,10
3,Monique Coleman,4,percent,0.1551898518252108,0.15181676811048106,8
3,Sara Evans,6,percent,0.10328775955201927,0.10505463915644156,5
3,Shanna Moakler,10,percent,0.09027891714520098,0.08175101382999361,2
3,Tucker Carlson,11,percent,0.05660377358490566,0.0566074446434523,1
3,Vivica A. Fox,8,percent,0.11494207870335844,0.1100419101071369,4
3,Willa Ford,7,percent,0.12012783805494975,0.11624954483156325,5
4,Apolo Anton Ohno,1,percent,0.178011794399143,0.1745896181420613,10
4,Billy Ray Cyrus,5,percent,0.1062712202867889,0.10908238216282537,8
4,Clyde Drexler,8,percent,0.07546895817305128,0.09360381142637753,5
4,Heather Mills,7,percent,0.11184908310227042,0.10507539613198998,6
4,Ian Ziering,4,percent,0.1458243690501048,0.14444156997590382,9
4,Joey Fatone,2,percent,0.17680658286213982,0.17704925550193212,10
4,John Ratzenberger,6,percent,0.10055152917957653,0.10290728110401257,7
4,Laila Ali,3,percent,0.1735951827353735,0.17272763716615894,10
4,Leeza Gibbons,9,percent,0.08820802228248094,0.0841549232617453,4
4,Paulina Porizkova,11,percent,0.08897364771151178,0.08357111945853904,2
4,Shandi Finnessey,10,percent,0.09006531266644006,0.08703912373225393,3
5,Albert Reed,11,percent,0.0849736781872282,0.07482135576457954,2
