season,week,celebrity_name,fan_vote_share,mean,std,cv,certainty,ci_low,ci_high,judge_total,eliminated,week_type,regime
1,1,John O'Hurley,0.41408544041967815,0.2654467946467914,0.10572432463622841,0.3982881947280894,0.7151601535150339,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Kelly Monaco,0.03399020280702581,0.033990202807025804,4.9065389333867974e-18,1.4435156392690342e-16,0.9999999999999998,0.033990202807025804,0.03399020280702581,13.0,False,no_elim,rank
1,1,Evander Holyfield,0.09239495063597589,0.07421766049966527,0.01817729013631062,0.2449186624037092,0.8032653298563167,0.056040370363354644,0.09239495063597589,18.0,False,no_elim,rank
1,1,Rachel Hunter,0.25115551535514374,0.2735932909000181,0.11047953537308651,0.40380937343035994,0.7123474304466225,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Joey McIntyre,0.15233352041882178,0.27853439064683416,0.10710410524932074,0.3845274007299252,0.7222681179677617,0.15233352041882176,0.41408544041967815,20.0,False,no_elim,rank
1,1,Trista Sutter,0.05604037036335466,0.07421766049966526,0.0181772901363106,0.24491866240370896,0.8032653298563168,0.05604037036335466,0.09239495063597586,18.0,False,no_elim,rank
1,2,John O'Hurley,0.4231777988235567,0.4231777988235567,0.0,0.0,1.0,0.4231777988235567,0.4231777988235567,26.0,False,single_elim,rank
1,2,Kelly Monaco,0.09442373002276022,0.09442373002276021,1.3877787807814457e-17,1.4697351825086035e-16,0.9999999999999998,0.09442373002276022,0.09442373002276022,17.0,False,single_elim,rank
1,2,Evander Holyfield,0.05727088726323235,0.05727088726323235,0.0,0.0,1.0,0.05727088726323235,0.05727088726323235,14.0,False,single_elim,rank
1,2,Rachel Hunter,0.2566703094961919,0.2566703094961919,0.0,0.0,1.0,0.2566703094961919,0.2566703094961919,24.0,False,single_elim,rank
1,2,Joey McIntyre,0.15567841214737108,0.15567841214737105,2.7755575615628914e-17,1.782878899699622e-16,0.9999999999999998,0.15567841214737108,0.15567841214737108,21.0,False,single_elim,rank
1,2,Trista Sutter,0.012778862246887705,0.012778862246887703,1.734723475976807e-18,1.3574944642660184e-16,0.9999999999999998,0.012778862246887705,0.012778862246887705,19.0,True,single_elim,rank
1,3,John O'Hurley,0.2599927206586828,0.2545600272970931,0.0,0.0,1.0,0.2545600272970931,0.2545600272970931,24.0,False,single_elim,rank
1,3,Kelly Monaco,0.09564597678455912,0.09668495362195821,0.013240386716589888,0.13694361139542247,0.8795510964458955,0.09364740058664171,0.12554170745746496,21.0,False,single_elim,rank
1,3,Evander Holyfield,0.058012217397997876,0.020895559490381528,0.0,0.0,1.0,0.020895559490381528,0.020895559490381528,13.0,True,single_elim,rank
