week,bottom2,percent,rank,overall
1,0.4869406952241218,0.022428193100211945,0.2927783393772532,0.14193493906386925
2,0.5184928298204446,0.017844450057523692,0.23587767712678906,0.1461449234313908
3,0.5227541640324161,0.015043753120932176,0.19625727088657938,0.14428425723274474
4,0.5226254678014146,0.013839893715997953,0.16521647100254758,0.1438030479398795
5,0.5112061679179021,0.01205992844365447,0.12180922138037317,0.14027615371648883
6,0.4505068534675431,0.010803678456247953,0.08628030397029186,0.12401726439243105
7,0.40522969297025485,0.010806044592959403,0.09317206430612368,0.11431683114170102
8,0.342665558784298,0.010321434678202396,0.07825386677854416,0.10012953743062072
9,0.2890447281784849,0.010000265847670643,,0.08894047558599309
10,0.2603082431052253,0.007820150657486478,,0.07731228619356138
11,0.2700815296317733,0.006688000547475921,,0.13482539307497196
