season,week,celebrity_name,fan_vote_share,fan_vote_est,fan_vote_sd,method,judge_total,elim_week,withdrew
1,1,John O'Hurley,0.21091541710032233,2109154.1710032234,0.046948623391717834,rank,20.0,,False
1,1,Kelly Monaco,0.12792666707742376,1279266.6707742375,0.0276445086773305,rank,13.0,,False
1,1,Evander Holyfield,0.15624998401060317,1562499.8401060316,0.014145272398016884,rank,18.0,3.0,False
1,1,Rachel Hunter,0.19084416143303312,1908441.6143303313,0.018472544014527963,rank,20.0,4.0,False
1,1,Joey McIntyre,0.17268293827830353,1726829.3827830353,0.0010711571742777735,rank,20.0,,False
1,1,Trista Sutter,0.14138083210031413,1413808.3210031413,0.022560229156620717,rank,18.0,2.0,False
1,2,John O'Hurley,0.21091541710032233,2109154.1710032234,0.046948623391717834,rank,26.0,,False
1,2,Kelly Monaco,0.12792666707742376,1279266.6707742375,0.0276445086773305,rank,17.0,,False
1,2,Evander Holyfield,0.15624998401060317,1562499.8401060316,0.014145272398016884,rank,14.0,3.0,False
1,2,Rachel Hunter,0.19084416143303312,1908441.6143303313,0.018472544014527963,rank,24.0,4.0,False
1,2,Joey McIntyre,0.17268293827830353,1726829.3827830353,0.0010711571742777735,rank,21.0,,False
1,2,Trista Sutter,0.14138083210031413,1413808.3210031413,0.022560229156620717,rank,19.0,2.0,False
1,3,John O'Hurley,0.24185513894053184,2418551.3894053185,0.04325986511184374,rank,24.0,,False
1,3,Kelly Monaco,0.17917069369265445,1791706.9369265446,0.020520066554726435,rank,21.0,,False
1,3,Evander Holyfield,0.16212034786857324,1621203.4786857325,0.029055008137874296,rank,13.0,3.0,False
1,3,Rachel Hunter,0.21883957945767907,2188395.7945767906,0.013347604214711605,rank,26.0,4.0,False
1,3,Joey McIntyre,0.19801424004056156,1980142.4004056156,0.007032394633954681,rank,22.0,,False
1,4,John O'Hurley,0.28865140515740234,2886514.0515740234,0.038768792575787844,rank,21.0,,False
1,4,Kelly Monaco,0.21383822036598443,2138382.203659844,0.0297195140994042,rank,26.0,,False
1,4,Rachel Hunter,0.26118259215507555,2611825.9215507554,0.00640227703858482,rank,25.0,4.0,False
1,4,Joey McIntyre,0.23632778232153764,2363277.8232153766,0.015451555514968483,rank,20.0,,False
1,5,John O'Hurley,0.36716540111092555,3671654.0111092557,0.03280335099370095,rank,27.0,,False
1,5,Kelly Monaco,0.30060960535572734,3006096.0535572735,0.02871566585160828,rank,23.5,,False
1,5,Joey McIntyre,0.3322249935333473,3322249.9353334727,0.0040876851420927375,rank,22.5,,False
1,6,John O'Hurley,0.52497918747894,5249791.8747894,0.02331723706081939,rank,27.0,,False
1,6,Kelly Monaco,0.47502081252106,4750208.1252106,0.023317237060819365,rank,27.5,,False
2,1,Tatum O'Neal,0.13621873826972203,1362187.3826972202,0.031041122689585608,rank,23.0,2.0,False
2,1,Tia Carrere,0.09131015090787677,913101.5090787676,0.014353687457858116,rank,20.0,5.0,False
2,1,George Hamilton,0.07475842861647011,747584.2861647011,0.0194958740093992,rank,18.0,6.0,False
2,1,Lisa Rinna,0.08262084118795704,826208.4118795703,0.017693518474874013,rank,19.0,7.0,False
2,1,Stacy Keibler,0.11152647016690202,1115264.70166902,0.00029689167803921833,rank,22.0,,False
2,1,Jerry Rice,0.10091332330848411,1009133.2330848412,0.008843101532765801,rank,21.0,,False
2,1,Giselle Fernandez,0.12325581142409144,1232558.1142409144,0.012463479375444505,rank,23.0,3.0,False
2,1,Master P,0.06120702456008913,612070.2456008913,0.02021190660510849,rank,12.0,4.0,False
2,1,Drew Lachey,0.15054498803265506,1505449.8803265507,0.057613552569701854,rank,24.0,,False
2,1,Kenny Mayne,0.06764422352575242,676442.2352575242,0.020223174876687216,rank,13.0,1.0,False
2,2,Tatum O'Neal,0.07205446280001708,720544.6280001708,0.022084363535057727,rank,17.0,2.0,False
2,2,Tia Carrere,0.09726335123576053,972633.5123576054,0.01662430699487177,rank,22.0,5.0,False
2,2,George Hamilton,0.07963249680414247,796324.9680414248,0.02149950814303464,rank,22.0,6.0,False
2,2,Lisa Rinna,0.0880075196016902,880075.196016902,0.01983593262475237,rank,20.0,7.0,False
