season,week,celebrity_name,fan_vote_share,fan_vote_mean,fan_vote_std,cv,ci_low,ci_high,ci_width,judge_total,regime,eliminated_this_week
1,1,John O'Hurley,0.3105084870032935,0.19208728065925534,0.060872759182933084,0.3169015614881633,0.09951546646681639,0.2855352291426165,0.1860197626758001,20.0,rank,False
1,1,Kelly Monaco,0.06928380843249152,0.0774492240548634,0.014778813774441098,0.190819391088697,0.052291709033396215,0.09480217377062539,0.04251046473722917,13.0,rank,False
1,1,Evander Holyfield,0.1262433299074973,0.12032381338010241,0.026408661166657566,0.21947992192728066,0.0773978663279005,0.1615565472365467,0.0841586809086462,18.0,rank,False
1,1,Rachel Hunter,0.2300303448483522,0.25315405692842025,0.06510573615593482,0.2571783243210816,0.14958166739566842,0.35363180886513795,0.20405014146946954,20.0,rank,False
1,1,Joey McIntyre,0.17041067077335825,0.21764537849332116,0.05881933152427238,0.27025306915063835,0.12397008217782918,0.3106573642017631,0.18668728202393392,20.0,rank,False
1,1,Trista Sutter,0.09352335903500723,0.13934024648403734,0.036862608579421856,0.26455105046512745,0.09084473639064858,0.2033387408592539,0.11249400446860533,18.0,rank,False
1,2,John O'Hurley,0.3105084870032935,0.1988405191590774,0.05359467502232213,0.2695359841594713,0.12102784543482742,0.2855352291426165,0.16450738370778906,26.0,rank,False
1,2,Kelly Monaco,0.09352335903500723,0.10050829136297372,0.013671008768789765,0.1360187163009124,0.07655488331715636,0.1160302120748803,0.03947532875772394,17.0,rank,False
1,2,Evander Holyfield,0.1262433299074973,0.14013132622188104,0.017285981709177455,0.12335558490188832,0.11282615566318982,0.1698735599196145,0.05704740425642468,14.0,rank,False
1,2,Rachel Hunter,0.2300303448483522,0.2562803863427473,0.060296791977842434,0.23527665475422688,0.17358930955256155,0.3536318088651379,0.18004249931257635,24.0,rank,False
1,2,Joey McIntyre,0.17041067077335825,0.22679025285845697,0.048210593854790276,0.21257789189414236,0.16530329928818416,0.31065736420176304,0.14535406491357888,21.0,rank,False
1,2,Trista Sutter,0.06928380843249152,0.07744922405486339,0.014778813774441096,0.190819391088697,0.05229170903339621,0.09480217377062539,0.04251046473722918,19.0,rank,True
1,3,John O'Hurley,0.333623170861932,0.2257179201059482,0.04673129985054676,0.20703407079336844,0.17911910294145464,0.3107463456824972,0.13162724274104257,24.0,rank,False
1,3,Kelly Monaco,0.13564105905891546,0.1420880510434394,0.01331269009487087,0.09369324159989281,0.11835010784840587,0.1568970786686183,0.038546970820212426,21.0,rank,False
1,3,Evander Holyfield,0.10048536802340956,0.10920928069732105,0.01643248890138687,0.15046787962032576,0.08080344482830157,0.12818757268893244,0.04738412786063087,13.0,rank,True
1,3,Rachel Hunter,0.2471541238161292,0.2770679731335404,0.06169825231678223,0.22268272878671935,0.19089581932077507,0.3730925949516802,0.1821967756309051,26.0,rank,False
1,3,Joey McIntyre,0.18309627823961383,0.24591677501975084,0.05217139014158028,0.21215059500267977,0.175193349366083,0.3337483316087176,0.1585549822426346,22.0,rank,False
1,4,John O'Hurley,0.37089243354366513,0.3071595813977313,0.04636816293022752,0.1509578920482602,0.27096393613501957,0.3989125376444485,0.12794860150942894,21.0,rank,False
1,4,Kelly Monaco,0.20355008326799387,0.20847985853813772,0.0108744453417546,0.05216065195940888,0.18871085383001587,0.2202880721617867,0.03157721833177082,26.0,rank,False
1,4,Rachel Hunter,0.15079361050621073,0.15983444441333977,0.017710522429223708,0.11080541803257014,0.12878770265501385,0.17997266047305066,0.05118495781803681,25.0,rank,True
1,4,Joey McIntyre,0.2747638726821303,0.3245261156507912,0.04546374723359067,0.14009272302298248,0.26964939841013436,0.38604735222430153,0.11639795381416718,20.0,rank,False
1,5,John O'Hurley,0.4367518169107908,0.3653872207340536,0.05235246066013485,0.1432793970050734,0.3211315969083186,0.4600031115635933,0.1388715146552747,27.0,rank,False
1,5,Kelly Monaco,0.2396944792058498,0.24851981145617152,0.01795335230603882,0.07224113120335696,0.21665030054427642,0.2686415022550078,0.051991201710731405,23.5,rank,False
1,5,Joey McIntyre,0.32355370388335947,0.3860929678097748,0.05189800116937446,0.13441840565960328,0.31863692482295813,0.4493627528517149,0.13072582802875676,22.5,rank,False
1,6,John O'Hurley,0.574442516811659,0.5672191749133273,0.015225175483920717,0.026841785604739415,0.550377941116815,0.5945452836931745,0.04416734257635946,27.0,rank,False
1,6,Kelly Monaco,0.425557483188341,0.43278082508667276,0.01522517548392072,0.035179875358090515,0.40545471630682545,0.44962205888318507,0.044167342576359625,27.5,rank,False
2,1,Tatum O'Neal,0.20206690331807076,0.20419277862872795,0.06575553597204478,0.3220267455765628,0.10988162769775009,0.32531046028018246,0.21542883258243237,23.0,rank,False
2,1,Tia Carrere,0.060861381698425455,0.07852255147853811,0.017071742721720497,0.2174119714689425,0.05675629412033779,0.10690700373838773,0.05015070961804994,20.0,rank,False
2,1,George Hamilton,0.03340143446485591,0.035217655413348224,0.010709332066897292,0.304089864620523,0.019160406267755222,0.05258561657678582,0.033425210309030604,18.0,rank,False
2,1,Lisa Rinna,0.045087220498058425,0.04649027627190933,0.011246141299217442,0.2419030860010755,0.028933699150417404,0.06390778235301792,0.03497408320260051,19.0,rank,False
